size,Triton,Torch
4096.000000,11.770115,11.906977
8192.000000,24.188975,27.675675
16384.000000,49.951217,49.951217
32768.000000,85.930071,90.352940
65536.000000,151.236923,148.048195
131072.000000,230.760556,231.849058
262144.000000,328.775912,322.308203
524288.000000,434.973444,411.744504
1048576.000000,481.292538,472.048020
2097152.000000,522.546162,514.680630
4194304.000000,545.943760,543.303641
8388608.000000,557.012479,556.568983
16777216.000000,562.038234,562.691725
33554432.000000,564.686600,566.593670
67108864.000000,565.778421,568.231237
134217728.000000,565.982013,568.664558
